epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4094,3.02928,4.91433,4.20435,0.01692,0.00451,0.00356,0.00057,2.66203,6.23131,4.55974,0.0701357,0.00331825,0.00331825
2,63.1178,3.03693,4.65971,3.96673,0.20463,0.06989,0.0043,0.0012,2.74412,15.138,4.44719,0.0401341,0.00664996,0.00664996
3,94.4821,2.84402,4.18465,3.55942,0.4483,0.05699,0.02629,0.0091,2.29472,3.9864,3.21676,0.010126,0.00997516,0.00997516
4,125.298,2.38977,3.63438,3.06369,0.28013,0.23416,0.1284,0.06308,1.99539,3.18995,2.82622,0.00997803,0.00997803,0.00997803
5,156.659,2.08281,3.26508,2.74294,0.18152,0.35324,0.20486,0.10818,1.7652,2.88477,2.54515,0.00996097,0.00996097,0.00996097
6,187.602,1.85323,2.96785,2.4768,0.2282,0.28832,0.1804,0.11003,1.66348,2.60284,2.46673,0.00993906,0.00993906,0.00993906
7,218.275,1.67146,2.71145,2.29335,0.38246,0.45801,0.30902,0.19624,1.45122,2.32267,2.19487,0.00991232,0.00991232,0.00991232
8,248.943,1.5327,2.4866,2.15958,0.45381,0.45405,0.39249,0.2411,1.38056,2.06429,2.09261,0.00988079,0.00988079,0.00988079
9,279.808,1.45248,2.33432,2.07485,0.43696,0.46821,0.42083,0.25935,1.30906,2.01296,2.03078,0.00984449,0.00984449,0.00984449
10,310.603,1.40472,2.1812,2.00851,0.43455,0.55579,0.4754,0.30433,1.24563,1.83489,1.9556,0.00980345,0.00980345,0.00980345
11,341.92,1.34911,2.07635,1.94928,0.46732,0.56954,0.50531,0.33261,1.19052,1.76797,1.86366,0.00975773,0.00975773,0.00975773
12,372.777,1.29719,1.97173,1.89153,0.5536,0.57021,0.5651,0.38376,1.13601,1.64051,1.82038,0.00970736,0.00970736,0.00970736
13,404.304,1.26246,1.86423,1.86307,0.54408,0.64435,0.61524,0.41339,1.13402,1.52653,1.81279,0.00965239,0.00965239,0.00965239
14,435.175,1.23874,1.8139,1.8431,0.60158,0.65845,0.62892,0.42745,1.10939,1.48578,1.76646,0.00959289,0.00959289,0.00959289
15,466.105,1.20231,1.71937,1.78934,0.52896,0.7048,0.64099,0.42483,1.10556,1.45978,1.76719,0.00952889,0.00952889,0.00952889
16,497.12,1.18355,1.69083,1.77461,0.60265,0.68391,0.64968,0.44293,1.08679,1.39655,1.72555,0.00946048,0.00946048,0.00946048
17,527.969,1.16864,1.66554,1.75106,0.52765,0.67558,0.62425,0.43048,1.07499,1.42897,1.72323,0.00938772,0.00938772,0.00938772
18,559.376,1.15603,1.6187,1.73782,0.5968,0.63932,0.66959,0.46417,1.04355,1.38947,1.68662,0.00931067,0.00931067,0.00931067
19,590.254,1.14811,1.58646,1.72781,0.58402,0.69473,0.66391,0.45123,1.06141,1.39163,1.70309,0.00922942,0.00922942,0.00922942
