epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.2355,3.04081,4.92984,4.19024,0.00177,0.07217,0.00123,0.00037,nan,nan,nan,0.0701357,0.00331825,0.00331825
2,118.419,3.04051,4.71525,4.00642,0.06992,0.1088,0.00254,0.00068,2.78244,inf,4.95435,0.0401341,0.00664996,0.00664996
3,149.416,2.81315,4.18436,3.58083,0.26602,0.15242,0.04933,0.02011,2.2922,4.89947,3.28773,0.010126,0.00997516,0.00997516
4,180.359,2.35319,3.65743,3.06421,0.23715,0.18876,0.09056,0.04445,2.04002,3.30276,2.96415,0.00997803,0.00997803,0.00997803
5,211.287,2.02497,3.27458,2.69498,0.17574,0.25669,0.14441,0.08168,1.8013,2.87001,2.61902,0.00996097,0.00996097,0.00996097
6,241.814,1.79833,2.975,2.43567,0.27889,0.35653,0.22218,0.13029,1.56162,2.51567,2.32983,0.00993906,0.00993906,0.00993906
7,272.342,1.63486,2.70181,2.25308,0.29165,0.44553,0.33977,0.20803,1.42816,2.31689,2.1644,0.00991232,0.00991232,0.00991232
8,303.1,1.51779,2.48077,2.12142,0.35096,0.4283,0.36482,0.22097,1.3691,2.12318,2.07562,0.00988079,0.00988079,0.00988079
9,333.911,1.42516,2.31984,2.03184,0.39645,0.53603,0.42569,0.26071,1.2715,2.01739,1.97813,0.00984449,0.00984449,0.00984449
10,364.898,1.39247,2.17509,1.97,0.42417,0.56541,0.44456,0.28002,1.28945,1.83503,1.97104,0.00980345,0.00980345,0.00980345
11,395.884,1.3327,2.0535,1.91179,0.43837,0.63775,0.5381,0.34918,1.17342,1.6992,1.83901,0.00975773,0.00975773,0.00975773
12,426.15,1.28932,1.93446,1.86367,0.51204,0.56314,0.54513,0.36365,1.15299,1.72022,1.81653,0.00970736,0.00970736,0.00970736
13,457.032,1.25506,1.83713,1.83437,0.44657,0.59697,0.54461,0.35485,1.13361,1.71455,1.79641,0.00965239,0.00965239,0.00965239
14,488.24,1.23165,1.78868,1.82054,0.55232,0.68716,0.6145,0.41464,1.12655,1.49596,1.77132,0.00959289,0.00959289,0.00959289
15,519.393,1.19497,1.70494,1.7562,0.54253,0.69618,0.63068,0.4298,1.06952,1.51986,1.70826,0.00952889,0.00952889,0.00952889
16,550.521,1.18156,1.67381,1.75649,0.58106,0.65336,0.64345,0.4442,1.07077,1.38501,1.69793,0.00946048,0.00946048,0.00946048
17,581.692,1.15745,1.64268,1.72011,0.60914,0.6997,0.66138,0.4568,1.04454,1.35405,1.65831,0.00938772,0.00938772,0.00938772
18,612.704,1.14101,1.59527,1.70522,0.55326,0.65559,0.65652,0.45987,1.01764,1.38673,1.64181,0.00931067,0.00931067,0.00931067
19,643.977,1.14277,1.5663,1.70419,0.57329,0.68286,0.66661,0.46842,1.03284,1.31028,1.66651,0.00922942,0.00922942,0.00922942
20,675.517,1.11907,1.53914,1.67924,0.61031,0.64304,0.66571,0.46863,1.0238,1.30697,1.65228,0.00914405,0.00914405,0.00914405
21,706.458,1.09378,1.47422,1.64594,0.5708,0.70763,0.69232,0.49057,1.00698,1.25718,1.62977,0.00905463,0.00905463,0.00905463
22,737.45,1.07889,1.46179,1.63305,0.58372,0.73736,0.68093,0.48766,0.99006,1.23651,1.5876,0.00896127,0.00896127,0.00896127
23,768.618,1.07094,1.41381,1.62161,0.58011,0.71732,0.66459,0.47368,1.00863,1.33591,1.62727,0.00886404,0.00886404,0.00886404
24,799.689,1.06638,1.39844,1.61763,0.61172,0.68709,0.69353,0.49753,0.9755,1.26062,1.58631,0.00876305,0.00876305,0.00876305
25,830.343,1.06418,1.38997,1.60464,0.58485,0.72744,0.69693,0.49579,0.99308,1.21561,1.59186,0.00865839,0.00865839,0.00865839
26,860.907,1.05415,1.37117,1.59571,0.62895,0.69344,0.7035,0.5012,0.97082,1.20686,1.55394,0.00855018,0.00855018,0.00855018
27,891.46,1.03164,1.33631,1.57854,0.63898,0.69767,0.70045,0.50864,0.96451,1.22032,1.56228,0.00843851,0.00843851,0.00843851
28,921.62,1.04197,1.35129,1.59346,0.64744,0.73367,0.72225,0.51713,0.95917,1.16913,1.56683,0.00832349,0.00832349,0.00832349
29,952.331,1.02938,1.30838,1.57085,0.64375,0.75241,0.74167,0.53819,0.94601,1.07789,1.54273,0.00820525,0.00820525,0.00820525
30,983.078,0.99685,1.26557,1.54166,0.69776,0.71192,0.74714,0.54877,0.93891,1.16197,1.54075,0.00808389,0.00808389,0.00808389
31,1013.75,1.00999,1.25732,1.5498,0.67715,0.73269,0.74124,0.54614,0.93191,1.10434,1.53129,0.00795954,0.00795954,0.00795954
32,1044.54,0.99154,1.22796,1.53429,0.66956,0.76348,0.75624,0.56231,0.92568,1.08942,1.5216,0.00783231,0.00783231,0.00783231
33,1075.19,0.99744,1.23965,1.54121,0.67251,0.74219,0.76064,0.56744,0.90104,1.06543,1.49597,0.00770234,0.00770234,0.00770234
34,1105.65,0.97402,1.2112,1.51296,0.65452,0.76327,0.75597,0.56252,0.92222,1.03751,1.51292,0.00756976,0.00756976,0.00756976
35,1135.92,0.97446,1.19027,1.51451,0.6769,0.78274,0.76936,0.56833,0.92744,1.02684,1.51792,0.00743468,0.00743468,0.00743468
36,1166.33,0.9766,1.20157,1.51722,0.68667,0.7444,0.75605,0.56589,0.90435,1.07629,1.48636,0.00729725,0.00729725,0.00729725
37,1196.78,0.95066,1.16113,1.49437,0.69244,0.75782,0.75661,0.56508,0.91206,1.04766,1.49959,0.00715761,0.00715761,0.00715761
38,1227.85,0.95772,1.14705,1.5017,0.70415,0.75922,0.78328,0.58912,0.89211,1.01885,1.48697,0.00701588,0.00701588,0.00701588
39,1258.96,0.94433,1.13367,1.48966,0.63998,0.76849,0.75659,0.5717,0.90119,1.04155,1.49404,0.00687222,0.00687222,0.00687222
40,1290.93,0.93899,1.13815,1.48618,0.71597,0.74755,0.76139,0.57022,0.90367,1.02818,1.49002,0.00672675,0.00672675,0.00672675
41,1322.78,0.9389,1.10455,1.48884,0.70332,0.7575,0.78456,0.58882,0.8977,0.95346,1.47263,0.00657963,0.00657963,0.00657963
42,1354.28,0.92563,1.10186,1.47761,0.70815,0.7834,0.77306,0.58327,0.88931,0.99148,1.46996,0.00643101,0.00643101,0.00643101
43,1386.12,0.92398,1.08033,1.45889,0.73918,0.74307,0.77239,0.57944,0.88046,0.99755,1.46008,0.00628101,0.00628101,0.00628101
44,1417.98,0.9163,1.07903,1.45521,0.71202,0.76864,0.77555,0.58761,0.88187,0.99341,1.47479,0.00612981,0.00612981,0.00612981
45,1449.64,0.92056,1.07761,1.46758,0.71506,0.77214,0.79394,0.60428,0.87564,0.96058,1.46203,0.00597754,0.00597754,0.00597754
46,1481.2,0.91646,1.08881,1.45897,0.72761,0.75986,0.79034,0.60061,0.8669,0.95768,1.4506,0.00582435,0.00582435,0.00582435
47,1512.63,0.90321,1.04667,1.43989,0.69596,0.77258,0.78156,0.58698,0.87203,0.96829,1.46735,0.0056704,0.0056704,0.0056704
48,1543.97,0.9028,1.03156,1.43477,0.77466,0.75519,0.79194,0.60414,0.87963,0.94688,1.46067,0.00551584,0.00551584,0.00551584
49,1575.5,0.89408,1.02103,1.43,0.72344,0.76114,0.7849,0.60129,0.86145,0.9385,1.43701,0.00536081,0.00536081,0.00536081
50,1607.05,0.88649,1.02361,1.42302,0.72488,0.76282,0.78235,0.59672,0.8624,0.94445,1.43749,0.00520548,0.00520548,0.00520548
51,1638.94,0.89417,1.0186,1.43212,0.70205,0.7794,0.79552,0.60527,0.86652,0.93739,1.45135,0.00505,0.00505,0.00505
52,1670.34,0.87325,0.98014,1.41008,0.69232,0.79125,0.79796,0.60734,0.86815,0.94105,1.44022,0.00489452,0.00489452,0.00489452
53,1701.66,0.87544,0.99893,1.41513,0.73115,0.76146,0.78951,0.6095,0.85975,0.94971,1.44295,0.00473919,0.00473919,0.00473919
54,1733.66,0.88098,0.98665,1.41959,0.70906,0.78607,0.79688,0.6132,0.86787,0.93533,1.43892,0.00458416,0.00458416,0.00458416
55,1765.69,0.87898,0.99909,1.41933,0.73096,0.76929,0.7989,0.60484,0.87748,0.92948,1.45736,0.0044296,0.0044296,0.0044296
