epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.2788,2.85133,5.18327,4.25981,0.00321,0.01263,0.00236,0.00051,2.48553,8.69865,4.80798,0.0701357,0.00331825,0.00331825
2,114.573,2.84523,5.09471,4.1238,0.00407,0.00997,0.00331,0.0007,2.46058,4.65162,4.43696,0.0401341,0.00664996,0.00664996
3,148.432,2.77495,4.59615,3.7336,0.14181,0.20959,0.0135,0.0042,2.35023,3.83055,3.51121,0.010126,0.00997516,0.00997516
4,182.484,2.57728,4.1493,3.37169,0.44934,0.11889,0.04558,0.01697,2.26643,4.68772,3.22973,0.00997803,0.00997803,0.00997803
5,216.222,2.27973,3.77506,3.01257,0.13926,0.2524,0.11589,0.06452,1.85347,3.07024,2.75632,0.00996097,0.00996097,0.00996097
6,249.877,1.98711,3.37285,2.65036,0.14969,0.38392,0.15432,0.09099,1.63339,3.21479,2.43892,0.00993906,0.00993906,0.00993906
7,283.892,1.75404,3.02941,2.39365,0.25361,0.41593,0.26597,0.15725,1.49398,2.53484,2.24375,0.00991232,0.00991232,0.00991232
8,317.711,1.61602,2.77098,2.22701,0.37578,0.38886,0.28736,0.17856,1.39353,2.49369,2.12759,0.00988079,0.00988079,0.00988079
9,351.433,1.51266,2.61416,2.11484,0.33848,0.50287,0.35908,0.2236,1.32305,2.33337,2.0628,0.00984449,0.00984449,0.00984449
10,385.063,1.45722,2.45727,2.04152,0.3887,0.54614,0.40598,0.25832,1.25022,1.97982,1.95538,0.00980345,0.00980345,0.00980345
11,418.726,1.39387,2.31889,1.98155,0.39523,0.56623,0.42109,0.26733,1.23853,2.0051,1.91058,0.00975773,0.00975773,0.00975773
12,452.339,1.33686,2.16069,1.90479,0.50035,0.55888,0.52409,0.34204,1.18033,1.72851,1.84776,0.00970736,0.00970736,0.00970736
13,485.968,1.29878,2.04789,1.87644,0.49841,0.59053,0.56463,0.3527,1.15213,1.84683,1.81671,0.00965239,0.00965239,0.00965239
14,519.68,1.26805,1.97885,1.84672,0.53576,0.65405,0.58944,0.38851,1.13735,1.52597,1.78289,0.00959289,0.00959289,0.00959289
15,553.161,1.23458,1.875,1.78789,0.55364,0.61962,0.59923,0.39981,1.10352,1.58182,1.74167,0.00952889,0.00952889,0.00952889
16,586.844,1.2076,1.84009,1.76807,0.56826,0.64706,0.63018,0.4291,1.08835,1.472,1.71676,0.00946048,0.00946048,0.00946048
17,620.471,1.18558,1.80676,1.74692,0.5477,0.67902,0.62542,0.42737,1.07669,1.41827,1.70299,0.00938772,0.00938772,0.00938772
18,654.017,1.16936,1.73758,1.72413,0.58244,0.60998,0.63257,0.43133,1.04312,1.47134,1.6697,0.00931067,0.00931067,0.00931067
19,687.561,1.16502,1.69029,1.71621,0.58619,0.6561,0.64168,0.44052,1.05445,1.42953,1.67156,0.00922942,0.00922942,0.00922942
20,721.172,1.14573,1.63436,1.69207,0.5761,0.6756,0.65446,0.46231,1.0409,1.37137,1.64914,0.00914405,0.00914405,0.00914405
21,754.86,1.11006,1.57357,1.64463,0.59978,0.70412,0.68641,0.48711,1.02747,1.33033,1.62074,0.00905463,0.00905463,0.00905463
22,788.369,1.09405,1.54683,1.63314,0.57272,0.73005,0.66871,0.48055,1.01162,1.28648,1.61282,0.00896127,0.00896127,0.00896127
23,822.111,1.08696,1.51253,1.62382,0.59593,0.63348,0.64454,0.45484,1.01603,1.43283,1.60705,0.00886404,0.00886404,0.00886404
24,855.686,1.0689,1.49332,1.60442,0.63168,0.67839,0.68712,0.49014,0.98522,1.24755,1.58794,0.00876305,0.00876305,0.00876305
25,889.324,1.06834,1.4713,1.59832,0.67154,0.71689,0.71818,0.50386,0.986,1.19227,1.56501,0.00865839,0.00865839,0.00865839
26,922.969,1.06823,1.45582,1.59435,0.66419,0.67831,0.71608,0.51343,0.98201,1.23738,1.57803,0.00855018,0.00855018,0.00855018
27,956.418,1.04776,1.42444,1.57636,0.61185,0.71589,0.69721,0.50849,0.9806,1.28415,1.58148,0.00843851,0.00843851,0.00843851
28,990.086,1.0442,1.4269,1.57417,0.60185,0.72914,0.70262,0.50178,0.95901,1.2413,1.55002,0.00832349,0.00832349,0.00832349
29,1023.5,1.03868,1.38081,1.56252,0.64965,0.74514,0.73155,0.53264,0.95177,1.1422,1.54227,0.00820525,0.00820525,0.00820525
30,1056.93,1.00744,1.31972,1.53368,0.73224,0.67596,0.73353,0.53696,0.93801,1.19417,1.53795,0.00808389,0.00808389,0.00808389
31,1090.5,1.01723,1.32769,1.54358,0.7089,0.7114,0.74305,0.54205,0.93694,1.13531,1.53231,0.00795954,0.00795954,0.00795954
32,1124,1.00426,1.29904,1.53177,0.68174,0.77855,0.73229,0.54272,0.92051,1.10973,1.51138,0.00783231,0.00783231,0.00783231
33,1157.41,1.00133,1.30679,1.53173,0.70569,0.73016,0.7496,0.55855,0.91091,1.10126,1.50302,0.00770234,0.00770234,0.00770234
34,1190.87,0.99008,1.2841,1.51186,0.68445,0.7335,0.75495,0.5637,0.93678,1.1053,1.5181,0.00756976,0.00756976,0.00756976
35,1224.64,0.99363,1.24613,1.51336,0.64315,0.75751,0.7468,0.5521,0.9197,1.06553,1.50162,0.00743468,0.00743468,0.00743468
36,1258.01,0.98874,1.25088,1.51714,0.68306,0.74882,0.75666,0.56654,0.92371,1.07575,1.50686,0.00729725,0.00729725,0.00729725
37,1291.45,0.95815,1.20856,1.48752,0.6745,0.74461,0.74266,0.55792,0.92474,1.1079,1.50717,0.00715761,0.00715761,0.00715761
38,1325.01,0.9646,1.20199,1.48457,0.73928,0.74073,0.78347,0.57866,0.91359,1.04642,1.48749,0.00701588,0.00701588,0.00701588
39,1358.57,0.95052,1.18342,1.47937,0.68544,0.73907,0.7639,0.57685,0.92001,1.07748,1.49909,0.00687222,0.00687222,0.00687222
40,1391.98,0.95056,1.20422,1.47039,0.66901,0.75667,0.74635,0.56113,0.91674,1.06734,1.50092,0.00672675,0.00672675,0.00672675
41,1425.49,0.94728,1.15005,1.47251,0.67085,0.8011,0.78803,0.59161,0.89804,1.00735,1.47328,0.00657963,0.00657963,0.00657963
42,1459.08,0.93801,1.13994,1.46419,0.73305,0.73355,0.77437,0.58971,0.88915,1.014,1.47331,0.00643101,0.00643101,0.00643101
43,1493.02,0.92408,1.11677,1.4439,0.73354,0.74163,0.76659,0.57175,0.88159,1.01111,1.45733,0.00628101,0.00628101,0.00628101
44,1526.77,0.92485,1.12809,1.44218,0.74493,0.71971,0.78362,0.5931,0.89444,1.02139,1.47611,0.00612981,0.00612981,0.00612981
45,1560.44,0.92309,1.11625,1.4497,0.70951,0.77557,0.78437,0.59158,0.88885,1.00027,1.46942,0.00597754,0.00597754,0.00597754
46,1594.06,0.92482,1.12646,1.44419,0.70237,0.766,0.78151,0.59208,0.88023,1.00707,1.45438,0.00582435,0.00582435,0.00582435
47,1627.63,0.90832,1.07886,1.43164,0.71772,0.7699,0.78191,0.58855,0.88153,0.9825,1.45271,0.0056704,0.0056704,0.0056704
48,1661.19,0.9076,1.08409,1.42496,0.74294,0.78791,0.79134,0.6001,0.88146,0.98825,1.45013,0.00551584,0.00551584,0.00551584
49,1694.84,0.89609,1.06337,1.41174,0.72654,0.78642,0.79288,0.59866,0.88609,0.97657,1.45513,0.00536081,0.00536081,0.00536081
50,1728.65,0.88816,1.06719,1.40521,0.70981,0.76394,0.77346,0.58378,0.88269,0.9846,1.45074,0.00520548,0.00520548,0.00520548
51,1762.3,0.89723,1.05952,1.41897,0.67304,0.7851,0.78167,0.59848,0.86905,0.97179,1.44178,0.00505,0.00505,0.00505
52,1795.79,0.88367,1.02257,1.39924,0.73729,0.76421,0.78747,0.58778,0.8813,0.96924,1.44951,0.00489452,0.00489452,0.00489452
53,1829.23,0.8883,1.04688,1.41053,0.72573,0.76176,0.78908,0.61154,0.86526,0.96659,1.44603,0.00473919,0.00473919,0.00473919
54,1862.81,0.8933,1.0302,1.41287,0.71977,0.77773,0.79464,0.60287,0.88086,0.95033,1.43788,0.00458416,0.00458416,0.00458416
55,1896.33,0.88168,1.03588,1.40359,0.73711,0.76636,0.79413,0.6052,0.86739,0.95668,1.4418,0.0044296,0.0044296,0.0044296
56,1929.95,0.86406,0.96885,1.38466,0.75866,0.78257,0.80545,0.61773,0.86152,0.91763,1.42809,0.00427565,0.00427565,0.00427565
57,1963.77,0.86561,0.98738,1.38608,0.76211,0.7738,0.81045,0.62351,0.85658,0.9192,1.42719,0.00412246,0.00412246,0.00412246
58,1997.46,0.8478,0.96467,1.37407,0.73704,0.78471,0.80649,0.62251,0.85526,0.93569,1.41763,0.00397019,0.00397019,0.00397019
59,2031.19,0.84221,0.97625,1.36289,0.75375,0.7806,0.8035,0.62052,0.85904,0.933,1.42211,0.00381899,0.00381899,0.00381899
60,2064.64,0.84593,0.95808,1.36727,0.7246,0.78451,0.80431,0.62128,0.85536,0.954,1.43257,0.00366899,0.00366899,0.00366899
61,2098.1,0.84829,0.95117,1.37195,0.76791,0.74582,0.79983,0.62009,0.85136,0.92044,1.41686,0.00352037,0.00352037,0.00352037
62,2131.73,0.8315,0.9305,1.36083,0.7505,0.77555,0.80182,0.61988,0.84866,0.93313,1.40838,0.00337325,0.00337325,0.00337325
63,2165.25,0.83061,0.91931,1.34783,0.75793,0.76736,0.80137,0.62227,0.8456,0.92476,1.41164,0.00322778,0.00322778,0.00322778
64,2199.27,0.82516,0.91614,1.3541,0.74294,0.79762,0.80266,0.62369,0.84921,0.92237,1.41444,0.00308412,0.00308412,0.00308412
65,2232.84,0.83335,0.91835,1.35563,0.76883,0.76525,0.8049,0.62752,0.8497,0.93414,1.4162,0.00294239,0.00294239,0.00294239
66,2266.68,0.83538,0.93176,1.35948,0.73038,0.77516,0.78893,0.60873,0.8474,0.92754,1.4117,0.00280275,0.00280275,0.00280275
67,2300.12,0.82189,0.90529,1.34814,0.75147,0.7848,0.79857,0.61775,0.84023,0.9146,1.40991,0.00266532,0.00266532,0.00266532
68,2333.48,0.81103,0.88459,1.344,0.76582,0.75466,0.79987,0.62267,0.84429,0.90772,1.42257,0.00253024,0.00253024,0.00253024
69,2367.01,0.82431,0.8908,1.35139,0.75313,0.79604,0.80573,0.62481,0.85051,0.90908,1.42384,0.00239766,0.00239766,0.00239766
70,2400.7,0.80363,0.87835,1.33442,0.787,0.76218,0.80733,0.62722,0.83653,0.88928,1.40686,0.00226769,0.00226769,0.00226769
71,2434.59,0.78675,0.85624,1.31275,0.78666,0.78448,0.81722,0.64363,0.82635,0.8759,1.38921,0.00214046,0.00214046,0.00214046
72,2468.14,0.79618,0.85414,1.32598,0.78001,0.7746,0.80679,0.62923,0.83874,0.90583,1.40975,0.00201611,0.00201611,0.00201611
73,2501.57,0.78944,0.8492,1.31476,0.75728,0.79396,0.81184,0.63334,0.83885,0.89446,1.40589,0.00189475,0.00189475,0.00189475
74,2535.12,0.79984,0.8457,1.31904,0.75644,0.7806,0.80157,0.62924,0.84184,0.89701,1.40999,0.00177651,0.00177651,0.00177651
75,2568.64,0.79917,0.8427,1.32523,0.73485,0.77069,0.80046,0.62752,0.83531,0.91103,1.40027,0.00166149,0.00166149,0.00166149
76,2602.3,0.80411,0.84603,1.33199,0.76624,0.79049,0.81784,0.63681,0.83963,0.87306,1.40198,0.00154982,0.00154982,0.00154982
77,2635.77,0.78326,0.83606,1.31087,0.75444,0.79234,0.8115,0.63118,0.84277,0.89903,1.40783,0.00144161,0.00144161,0.00144161
78,2669.47,0.78049,0.8323,1.31046,0.77341,0.77525,0.81152,0.63737,0.82622,0.8741,1.3932,0.00133695,0.00133695,0.00133695
79,2702.86,0.77479,0.81238,1.30366,0.7782,0.78019,0.81697,0.64267,0.83341,0.87314,1.4031,0.00123596,0.00123596,0.00123596
80,2736.32,0.77197,0.82491,1.29996,0.75764,0.78969,0.80343,0.63109,0.832,0.9034,1.40006,0.00113873,0.00113873,0.00113873
81,2769.9,0.77445,0.81108,1.30634,0.80089,0.76872,0.81313,0.63669,0.83209,0.877,1.39402,0.00104537,0.00104537,0.00104537
82,2803.28,0.77663,0.80385,1.30582,0.78583,0.76402,0.814,0.63748,0.8248,0.87144,1.38813,0.000955951,0.000955951,0.000955951
83,2836.92,0.76978,0.79774,1.30107,0.75449,0.79077,0.80788,0.63476,0.82999,0.88636,1.39634,0.000870577,0.000870577,0.000870577
84,2870.39,0.76442,0.77802,1.29776,0.78864,0.78124,0.81577,0.64227,0.81838,0.87237,1.38352,0.000789327,0.000789327,0.000789327
85,2904.18,0.77082,0.7839,1.30353,0.79104,0.76749,0.81346,0.63589,0.8276,0.87995,1.38763,0.000712282,0.000712282,0.000712282
86,2937.7,0.76295,0.8054,1.29706,0.80677,0.78332,0.81356,0.64147,0.82521,0.86205,1.38277,0.000639518,0.000639518,0.000639518
87,2971.23,0.75855,0.79002,1.29644,0.79829,0.77737,0.81077,0.64183,0.82313,0.87273,1.38602,0.000571106,0.000571106,0.000571106
88,3004.69,0.76163,0.78179,1.2967,0.79679,0.78433,0.81621,0.64063,0.82569,0.86253,1.38843,0.000507115,0.000507115,0.000507115
89,3038.41,0.7651,0.77707,1.29537,0.77571,0.78287,0.8109,0.63761,0.82746,0.87988,1.38807,0.000447606,0.000447606,0.000447606
90,3071.89,0.74962,0.77197,1.2863,0.77156,0.79945,0.81676,0.64466,0.82384,0.87011,1.38525,0.00039264,0.00039264,0.00039264
91,3105.51,0.65607,0.65924,1.21934,0.78908,0.78652,0.81419,0.6347,0.83584,0.87812,1.39741,0.00034227,0.00034227,0.00034227
92,3139.08,0.64413,0.62411,1.21343,0.82193,0.76627,0.82082,0.64473,0.82959,0.87344,1.39218,0.000296546,0.000296546,0.000296546
93,3172.32,0.63733,0.63244,1.2047,0.80916,0.75538,0.81975,0.64464,0.82777,0.86823,1.3923,0.000255513,0.000255513,0.000255513
94,3205.56,0.63077,0.60224,1.19839,0.79836,0.77673,0.82306,0.64782,0.82357,0.85948,1.3897,0.000219212,0.000219212,0.000219212
95,3238.77,0.63504,0.62476,1.20368,0.81553,0.75838,0.81783,0.64324,0.83157,0.86599,1.39329,0.000187678,0.000187678,0.000187678
96,3271.91,0.63391,0.60468,1.20016,0.81929,0.75684,0.81867,0.64407,0.82326,0.85863,1.38803,0.000160943,0.000160943,0.000160943
97,3304.99,0.62876,0.6021,1.19568,0.79244,0.77442,0.81632,0.64399,0.82214,0.86228,1.3897,0.000139032,0.000139032,0.000139032
98,3338.16,0.62912,0.6125,1.19647,0.78866,0.77825,0.81574,0.64323,0.82758,0.86956,1.38963,0.000121968,0.000121968,0.000121968
99,3371.48,0.63462,0.59504,1.19524,0.79266,0.78137,0.8203,0.64609,0.82555,0.85745,1.38999,0.000109768,0.000109768,0.000109768
100,3404.59,0.6312,0.60716,1.19841,0.78946,0.7841,0.81835,0.64469,0.82665,0.86205,1.39235,0.000102443,0.000102443,0.000102443
