epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2429,2.85744,5.18826,4.23323,0.00134,0.13147,0.0011,0.00036,2.45985,inf,4.4787,0.0701357,0.00331825,0.00331825
2,72.3571,2.84424,5.06388,4.07265,0.00424,0.10806,0.00414,0.00112,2.49752,12.0944,4.58413,0.0401341,0.00664996,0.00664996
3,106.905,2.78163,4.5861,3.71063,0.01857,0.05634,0.01825,0.00619,2.35132,5.12573,3.59167,0.010126,0.00997516,0.00997516
4,141.181,2.55189,4.10066,3.34274,0.25524,0.1963,0.06043,0.02774,2.12712,3.78728,3.15551,0.00997803,0.00997803,0.00997803
5,175.615,2.19515,3.72126,2.93049,0.39008,0.25204,0.17059,0.08684,1.86405,2.955,2.73581,0.00996097,0.00996097,0.00996097
6,209.971,1.9354,3.36019,2.59689,0.26907,0.32994,0.17771,0.10109,1.66395,2.81127,2.46655,0.00993906,0.00993906,0.00993906
7,244.225,1.72918,3.04838,2.35559,0.29998,0.41267,0.28539,0.16657,1.51092,2.76558,2.24218,0.00991232,0.00991232,0.00991232
8,278.825,1.58318,2.79931,2.19852,0.40655,0.49684,0.35828,0.22209,1.36544,2.40687,2.08448,0.00988079,0.00988079,0.00988079
9,313.161,1.49183,2.65275,2.09579,0.36352,0.42258,0.35501,0.22035,1.31079,2.17502,2.02584,0.00984449,0.00984449,0.00984449
10,347.406,1.44187,2.47455,2.03087,0.40726,0.51977,0.43165,0.27234,1.2546,1.97357,1.94915,0.00980345,0.00980345,0.00980345
11,381.772,1.38828,2.33248,1.97735,0.41774,0.588,0.48053,0.30807,1.18938,2.01608,1.86649,0.00975773,0.00975773,0.00975773
12,416.044,1.34272,2.17682,1.92052,0.51414,0.57177,0.51929,0.34319,1.15184,1.78618,1.83472,0.00970736,0.00970736,0.00970736
13,450.311,1.30183,2.07069,1.87585,0.51881,0.59092,0.55069,0.35318,1.13827,1.76458,1.79081,0.00965239,0.00965239,0.00965239
14,484.751,1.27621,2.02098,1.84216,0.49377,0.61009,0.55172,0.36697,1.12887,1.63801,1.7605,0.00959289,0.00959289,0.00959289
15,518.936,1.22827,1.89565,1.77836,0.47897,0.63503,0.56554,0.37414,1.11062,1.62068,1.72835,0.00952889,0.00952889,0.00952889
16,553.379,1.21738,1.85331,1.77527,0.59398,0.63991,0.62882,0.42816,1.09009,1.46194,1.71058,0.00946048,0.00946048,0.00946048
17,587.744,1.1974,1.81152,1.74675,0.51037,0.70231,0.62451,0.42352,1.08383,1.47581,1.7057,0.00938772,0.00938772,0.00938772
18,621.861,1.16986,1.77145,1.72229,0.59426,0.63515,0.62903,0.42917,1.04057,1.47933,1.66938,0.00931067,0.00931067,0.00931067
19,656.076,1.17165,1.7282,1.71842,0.52924,0.6903,0.64557,0.44614,1.02969,1.4344,1.63601,0.00922942,0.00922942,0.00922942
20,690.287,1.14442,1.65392,1.67876,0.56219,0.68254,0.63629,0.4531,1.03941,1.38043,1.64452,0.00914405,0.00914405,0.00914405
21,724.701,1.114,1.58781,1.64643,0.56879,0.70539,0.66956,0.46575,1.02983,1.35945,1.63854,0.00905463,0.00905463,0.00905463
22,758.781,1.10062,1.57134,1.63429,0.61722,0.70575,0.68102,0.47516,1.02295,1.32619,1.6163,0.00896127,0.00896127,0.00896127
23,793.072,1.0926,1.54299,1.62255,0.54344,0.65317,0.61812,0.43276,1.01004,1.50491,1.60241,0.00886404,0.00886404,0.00886404
24,827.274,1.07643,1.51521,1.59751,0.62865,0.65478,0.65938,0.47782,0.98709,1.29082,1.5691,0.00876305,0.00876305,0.00876305
25,861.497,1.07021,1.49344,1.59561,0.59861,0.73517,0.697,0.4917,0.9838,1.23265,1.56919,0.00865839,0.00865839,0.00865839
26,895.742,1.05756,1.46637,1.57132,0.59551,0.69368,0.67991,0.48938,0.98418,1.29451,1.55908,0.00855018,0.00855018,0.00855018
27,929.924,1.04572,1.44782,1.56813,0.60713,0.68653,0.68571,0.49759,0.97462,1.27615,1.54362,0.00843851,0.00843851,0.00843851
28,964.475,1.05071,1.43032,1.57334,0.6567,0.71265,0.71208,0.50567,0.97029,1.26287,1.55107,0.00832349,0.00832349,0.00832349
29,998.795,1.0333,1.38635,1.54834,0.60751,0.73727,0.71133,0.52031,0.95187,1.15203,1.51553,0.00820525,0.00820525,0.00820525
30,1032.89,1.00686,1.3254,1.51712,0.7272,0.66241,0.73473,0.54381,0.93406,1.14904,1.51044,0.00808389,0.00808389,0.00808389
31,1066.99,1.02241,1.34019,1.53302,0.62194,0.70799,0.71159,0.52352,0.94064,1.25223,1.50745,0.00795954,0.00795954,0.00795954
32,1101.09,1.00035,1.2946,1.51236,0.64945,0.76134,0.72997,0.53512,0.94149,1.1506,1.50957,0.00783231,0.00783231,0.00783231
33,1135.17,1.00084,1.31499,1.51685,0.69389,0.74744,0.7713,0.56065,0.93338,1.05928,1.50592,0.00770234,0.00770234,0.00770234
34,1169.44,0.99459,1.27965,1.50778,0.68352,0.74554,0.75919,0.55831,0.93363,1.09578,1.4977,0.00756976,0.00756976,0.00756976
35,1203.81,0.98796,1.25172,1.50152,0.67639,0.75143,0.76512,0.5684,0.92125,1.07283,1.48139,0.00743468,0.00743468,0.00743468
36,1237.95,0.98696,1.24414,1.50222,0.69836,0.73183,0.75076,0.55735,0.91852,1.11599,1.47173,0.00729725,0.00729725,0.00729725
37,1272.09,0.9611,1.22704,1.47711,0.69481,0.76018,0.77002,0.56703,0.93444,1.03576,1.49389,0.00715761,0.00715761,0.00715761
38,1306.32,0.97126,1.20357,1.47947,0.73775,0.75603,0.77426,0.57686,0.90961,1.04867,1.45798,0.00701588,0.00701588,0.00701588
39,1340.52,0.95285,1.16873,1.46666,0.69053,0.73786,0.76029,0.55952,0.90298,1.07704,1.45469,0.00687222,0.00687222,0.00687222
40,1374.55,0.94674,1.17961,1.45807,0.74199,0.73221,0.76475,0.57477,0.90115,1.06503,1.45959,0.00672675,0.00672675,0.00672675
41,1408.75,0.94645,1.14911,1.46016,0.72981,0.73451,0.78029,0.58396,0.90164,1.01074,1.46423,0.00657963,0.00657963,0.00657963
42,1443.06,0.93879,1.14396,1.45554,0.70387,0.75714,0.77062,0.58308,0.8878,1.01659,1.44123,0.00643101,0.00643101,0.00643101
43,1477.29,0.91722,1.13188,1.42236,0.76095,0.74256,0.77496,0.58549,0.87681,0.99928,1.42823,0.00628101,0.00628101,0.00628101
44,1511.44,0.92966,1.12215,1.43236,0.72371,0.76092,0.76798,0.57732,0.90057,1.03743,1.4478,0.00612981,0.00612981,0.00612981
45,1545.74,0.92279,1.11459,1.4328,0.6917,0.77172,0.78605,0.59019,0.89486,1.00484,1.45411,0.00597754,0.00597754,0.00597754
46,1579.89,0.92657,1.13781,1.4352,0.74751,0.73893,0.79604,0.60094,0.87673,0.98178,1.42585,0.00582435,0.00582435,0.00582435
47,1614.12,0.90441,1.08523,1.4109,0.70612,0.74857,0.78721,0.58988,0.88392,0.9893,1.4308,0.0056704,0.0056704,0.0056704
48,1648.18,0.90434,1.078,1.4087,0.68352,0.78801,0.78651,0.59562,0.88505,1.00781,1.42987,0.00551584,0.00551584,0.00551584
49,1682.4,0.89559,1.05516,1.39916,0.74803,0.74999,0.78919,0.60161,0.86889,0.97958,1.41629,0.00536081,0.00536081,0.00536081
50,1716.56,0.89067,1.05971,1.39745,0.73591,0.77692,0.77552,0.57588,0.89102,0.99161,1.44541,0.00520548,0.00520548,0.00520548
51,1750.66,0.89509,1.05489,1.40284,0.7304,0.74816,0.78654,0.59791,0.87686,0.98228,1.42515,0.00505,0.00505,0.00505
52,1784.72,0.8709,1.00928,1.37711,0.72902,0.75167,0.78215,0.5929,0.87437,0.97414,1.41655,0.00489452,0.00489452,0.00489452
53,1818.76,0.88497,1.03096,1.3913,0.73321,0.76679,0.7885,0.60441,0.86851,0.97847,1.41788,0.00473919,0.00473919,0.00473919
54,1852.78,0.89053,1.01677,1.39401,0.72595,0.78066,0.79651,0.60358,0.86975,0.97369,1.40254,0.00458416,0.00458416,0.00458416
55,1887.1,0.88082,1.03026,1.38934,0.73765,0.75969,0.79156,0.5989,0.8763,0.98202,1.4184,0.0044296,0.0044296,0.0044296
56,1921.23,0.86889,0.97434,1.3769,0.73755,0.79107,0.80396,0.61517,0.85705,0.94624,1.40215,0.00427565,0.00427565,0.00427565
57,1955.37,0.86178,0.97904,1.36989,0.69915,0.81373,0.80578,0.60566,0.88463,0.95848,1.42209,0.00412246,0.00412246,0.00412246
58,1989.45,0.84892,0.97418,1.35847,0.71884,0.81944,0.82212,0.6293,0.86669,0.92713,1.40136,0.00397019,0.00397019,0.00397019
59,2023.59,0.83862,0.97239,1.34662,0.80653,0.76455,0.82284,0.63548,0.8482,0.91196,1.38529,0.00381899,0.00381899,0.00381899
60,2057.65,0.8361,0.94748,1.34696,0.73795,0.7594,0.80613,0.61585,0.86865,0.98533,1.4101,0.00366899,0.00366899,0.00366899
61,2091.68,0.84612,0.94276,1.35521,0.75253,0.73682,0.77893,0.60672,0.85608,0.95745,1.38611,0.00352037,0.00352037,0.00352037
62,2125.94,0.82852,0.91784,1.34553,0.75579,0.7784,0.79755,0.61744,0.84394,0.91914,1.38116,0.00337325,0.00337325,0.00337325
63,2160.26,0.83003,0.90356,1.3392,0.74656,0.78671,0.80505,0.62415,0.83968,0.9244,1.37417,0.00322778,0.00322778,0.00322778
64,2194.74,0.82849,0.90117,1.3406,0.73929,0.7926,0.79726,0.61703,0.8441,0.93248,1.38137,0.00308412,0.00308412,0.00308412
65,2228.78,0.8301,0.9098,1.33735,0.70784,0.80208,0.80367,0.62431,0.84822,0.92952,1.37393,0.00294239,0.00294239,0.00294239
66,2262.92,0.82803,0.91739,1.33829,0.73212,0.80532,0.79666,0.6158,0.85319,0.92879,1.38853,0.00280275,0.00280275,0.00280275
67,2297.03,0.82091,0.90344,1.33244,0.75952,0.78665,0.80904,0.62688,0.84961,0.9119,1.37942,0.00266532,0.00266532,0.00266532
68,2331.11,0.80914,0.87708,1.325,0.77532,0.75784,0.80664,0.62923,0.8505,0.91936,1.38206,0.00253024,0.00253024,0.00253024
69,2365.29,0.82252,0.87759,1.33111,0.75624,0.7938,0.81436,0.63455,0.84192,0.90572,1.38206,0.00239766,0.00239766,0.00239766
